일어 기사 제목,기사 링크,게재 일시,회사명(원문),회사 프로필 링크,업종,본사 주소,전화번호,대표자명,상장 여부,자본금,설립일,공식 URL,SNS X,SNS Facebook,SNS YouTube,이메일,문의 웹사이트 URL
"～絶対やかない氷冷UV～『サンカット®』から、汗をかくたびひんやり気持ちいい　「クールUV　プロテクトスプ...
1時間前
コーセーコスメポート株式会社",https://prtimes.jp/main/html/rd/p/000000354.000064425.html,2026年2月10日 15時00分,コーセーコスメポート株式会社,https://prtimes.jp/main/html/searchrlp/company_id/64425,商業（卸売業、小売業）,東京都中央区八丁堀1-2-8,03-6771-7613,小林孝雄,未上場,3000万円,1988年07月,https://www.kosecosmeport.co.jp/,,,,pr@kosecosmeport.co.jp,https://www.suncut-uv.com/
"女性が、より「ととのう」ウェルネスへ。シックスセンシズ 京都とフェムケアブランド「YOJOY」によるイベント...
1時間前
シックスセンシズ京都",https://prtimes.jp/main/html/rd/p/000000021.000133512.html,2026年2月10日 15時00分,シックスセンシズ京都,https://prtimes.jp/main/html/searchrlp/company_id/133512,飲食店・宿泊業,京都府京都市東山区妙法院前側町431,-,ニコラス　ブラック,未上場,-,-,-,,,,,https://www.sixsenses.com/jp/kyoto
"ヴェレダ「数量限定 ベストセラーセット 発売記念」 SNS投稿レポーター募集！
1時間前
ヴェレダ･ジャパン",https://prtimes.jp/main/html/rd/p/000000263.000008079.html,2026年2月10日 14時53分,ヴェレダ･ジャパン,https://prtimes.jp/main/html/searchrlp/company_id/8079,商業（卸売業、小売業）,東京都渋谷区恵比寿1丁目13番6号 恵比寿ＩＳビル2Ｆ,050-3655-0890,萩原吉晃,未上場,1000万円,1999年06月,http://www.weleda.jp/index.php,,,,,http://www.weleda.jp
"《2026年・新習慣》「整え」から「浄化」へ。その空気、3秒でリフレッシュ。世界中の“聖なる植物”の香りを凝...
1時間前
有限会社 西欧館",https://prtimes.jp/main/html/rd/p/000000009.000176360.html,2026年2月10日 14時47分,有限会社 西欧館,https://prtimes.jp/main/html/searchrlp/company_id/176360,製造業,宮城県仙台市青葉区大町一丁目1-1-18 西欧館ビル 最上階,022-797-5292,吉田顕二郎,未上場,1000万円,1980年05月,https://www.seiokan.net/,,,,,https://lessentiel.thebase.in/items/134783679
"暗闇ボクシング「b-monster」スタジオをランニングステーションとして開放　コミュニティラン「b-run station...
1時間前
株式会社ワールドフィット",https://prtimes.jp/main/html/rd/p/000000146.000081179.html,2026年2月10日 14時39分,株式会社ワールドフィット,https://prtimes.jp/main/html/searchrlp/company_id/81179,サービス業,東京都渋谷区富ケ谷１丁目３７−５ 白寿本社ビル 4F,03-5778-4167,高城大樹,未上場,2000万円,2017年04月,https://world-fit.co.jp/,,,,wf-corporate-pr@world-fit.co.jp,https://world-fit.co.jp/
"＜ナチュラルコスメブランドLUSH＞愛らしいウサギたちとお風呂でエッグハント！イースターを盛り上げるバスア...
2時間前
ラッシュジャパン合同会社",https://prtimes.jp/main/html/rd/p/000000691.000006160.html,2026年2月10日 14時30分,ラッシュジャパン合同会社,https://prtimes.jp/main/html/searchrlp/company_id/6160,商業（卸売業、小売業）,神奈川県愛甲郡愛川町中津4027番3,-,ロウィーナ・バード,未上場,-,-,http://www.lush.co.jp,,,,support@lush.co.jp,https://www.lush.com/jp/ja/c/easter-gifts（全商品はこちらからご覧いただけます）
"男性のスキンケア習慣と美容への興味、初めて4割超
2時間前
株式会社ナリス化粧品",https://prtimes.jp/main/html/rd/p/000000460.000025614.html,2026年2月10日 14時30分,株式会社ナリス化粧品,https://prtimes.jp/main/html/searchrlp/company_id/25614,製造業,大阪府大阪市福島区海老江1－11－17,06-6458-5801,村岡弘義,未上場,16億円,1932年04月,http://www.naris.co.jp,,,,,https://www.naris.co.jp/
"仙台市「アルーク・ウゴーク月間 第2弾」事業に参画し、アプリを活用した健康づくりを後押しします
2時間前
ライフログテクノロジー株式会社",https://prtimes.jp/main/html/rd/p/000000204.000018894.html,2026年2月10日 14時00分,ライフログテクノロジー株式会社,https://prtimes.jp/main/html/searchrlp/company_id/18894,情報通信,東京都中央区日本橋三丁目2番14号　新槇町ビル別館第一 1階,-,棚橋繁行,未上場,6億1956万円,2016年02月,http://calomeal.com/,,,,pr@calomeal.com,https://aru-kuworksendai.jp/aru-ku_ugo-ku/
"【名古屋初上陸】K-POPアイドルや女優御用達の技術を体験！韓国メイクアップサロン「YU1L×JOY187」が松坂屋名...
2時間前
株式会社シルキースタイル",https://prtimes.jp/main/html/rd/p/000000110.000047996.html,2026年2月10日 14時00分,株式会社シルキースタイル,https://prtimes.jp/main/html/searchrlp/company_id/47996,商業（卸売業、小売業）,東京都港区浜松町2-13-12 RiseWellビル　3F,03-5401-3031,雲林院　奈央子　上田　美央,未上場,3000万円,-,https://www.silky-style.com,,,,contact@yu1l.jp,http://www.yu1l.jp/
"東京都狛江市教育委員会と「部活動の地域展開に関する包括連携協定」を締結
2時間前
株式会社ルネサンス",https://prtimes.jp/main/html/rd/p/000000408.000027019.html,2026年2月10日 14時00分,株式会社ルネサンス,https://prtimes.jp/main/html/searchrlp/company_id/27019,サービス業,東京都墨田区両国2-10-14 両国シティコア3F,03-5600-5411,望月 美佐緒,東証プライム,32億1035万円,1982年08月,https://www.s-renaissance.co.jp/,,,,,https://www.komae.ed.jp/
"韓国NO.1*ダーマコスメブランド「AESTURA」「アトバリア365」シリーズ初クレンジングフォーム誕生！泡洗顔料...
2時間前
アモーレパシフィックジャパン株式会社",https://prtimes.jp/main/html/rd/p/000000040.000119328.html,2026年2月10日 14時00分,アモーレパシフィックジャパン株式会社,https://prtimes.jp/main/html/searchrlp/company_id/119328,製造業,東京都渋谷区広尾1-1-39 恵比寿プライムスクエア 18階,03-5561-6800,ナ・ジョンギュン,未上場,-,2005年02月,https://www.apgroup.com/jp/ja/,,,,,https://www.apgroup.com/jp/ja/
"独自の白玉ビタミン複合体が肌回復力を支えるミトコンドリア活性を1.67倍向上
2時間前
株式会社ハイサイド",https://prtimes.jp/main/html/rd/p/000000116.000054895.html,2026年2月10日 14時00分,株式会社ハイサイド,https://prtimes.jp/main/html/searchrlp/company_id/54895,商業（卸売業、小売業）,東京都目黒区中目黒1-10-23-2F,03-5768-9466,根津崇,未上場,-,2003年03月,https://www.hsco.co.jp,,,,,https://www.ampleur.jp/
"肌と心に寄り添う、「N organic」の新・花粉対策。“花粉爆発”を防いで落とす「Basic スージング クレンジング...
2時間前
株式会社シロク",https://prtimes.jp/main/html/rd/p/000000171.000057605.html,2026年2月10日 14時00分,株式会社シロク,https://prtimes.jp/main/html/searchrlp/company_id/57605,商業（卸売業、小売業）,宇田川町40－1,-,飯塚勇太,未上場,5000万円,2011年12月,https://sirok.co.jp/,,,,,https://sirok.jp/ads/VAh38zboU37xeU3q?preview=1）
"ファンと一緒にVALXを創る場所『VALX “FUN” コミュニティ』が誕生！
3時間前
VALX株式会社",https://prtimes.jp/main/html/rd/p/000000598.000024045.html,2026年2月10日 13時20分,VALX株式会社,https://prtimes.jp/main/html/searchrlp/company_id/24045,商業（卸売業、小売業）,東京都渋谷区南平台町16-11 MFPR渋谷南平台ビル3F,03-6455-0045,只石昌幸,未上場,9000万円,2006年05月,https://corp.valx.jp/,,,,,https://shop.valx.jp/
"話題の角栓溶解成分トロメタミン*¹配合　貼ってふき取るだけで毛穴つるん*²！鼻用美容液パックが2026年2月10...
3時間前
株式会社スタイリングライフ・ホールディングス　BCLカンパニー",https://prtimes.jp/main/html/rd/p/000000487.000038303.html,2026年2月10日 13時00分,株式会社スタイリングライフ・ホールディングス　BCLカンパニー,https://prtimes.jp/main/html/searchrlp/company_id/38303,製造業,東京都新宿区北新宿2-21-1 新宿フロントタワー27Ｆ,-,大村和重,未上場,-,-,https://www.bcl-brand.jp/,,,,,https://www.bcl-brand.jp/brand/tsururi/
"守りぬく、満ちてゆく。UV美容乳液『ドレススノー デイ・パーフェクトUV』2026年3月15日(日) 新発売
3時間前
株式会社アテニア",https://prtimes.jp/main/html/rd/p/000000403.000010341.html,2026年2月10日 13時00分,株式会社アテニア,https://prtimes.jp/main/html/searchrlp/company_id/10341,商業（卸売業、小売業）,神奈川県横浜市中区山下町89-1　 ファンケルビル6F,045-226-1452,保坂嘉久,未上場,1億5000万円,1989年02月,https://www.attenir.co.jp/index.html,,,,,https://www.attenir.co.jp/
"Anua、“ビタミン美容液発想”で、紫外線対策と日中ケアを両立するUVケアが登場 トーンアップUVクリーム＆サン...
3時間前
株式会社The Founders JAPAN",https://prtimes.jp/main/html/rd/p/000000045.000126707.html,2026年2月10日 13時00分,株式会社The Founders JAPAN,https://prtimes.jp/main/html/searchrlp/company_id/126707,製造業,東京都渋谷区幡ヶ谷 3-39-12渋谷ウエストビル１階,-,李昶周,未上場,100万円,2022年04月,https://www.anuashop.jp/,,,,,https://www.anuashop.jp/
"ブロー時間30％短縮※で、ヘアドライをもっと快適に ダイアン パーフェクトビューティーから ひんやりクールに...
3時間前
株式会社ネイチャーラボ",https://prtimes.jp/main/html/rd/p/000000603.000017718.html,2026年2月10日 13時00分,株式会社ネイチャーラボ,https://prtimes.jp/main/html/searchrlp/company_id/17718,商業（卸売業、小売業）,東京都渋谷区広尾1-1-39 恵比寿プライムスクエアタワー11F,03-5774-8866,安田昌夫,未上場,3000万円,1997年09月,http://www.naturelab.co.jp/,,,,,https://www.moist-diane.jp
"歩いて貯まるポイ活アプリ「Pitme（ピットミー）」をリリース
3時間前
株式会社セレス",https://prtimes.jp/main/html/rd/p/000000273.000021504.html,2026年2月10日 13時00分,株式会社セレス,https://prtimes.jp/main/html/searchrlp/company_id/21504,情報通信,東京都渋谷区桜丘町 1番1号 渋谷サクラステージ SHIBUYAタワー21階,03-6455-3756,都木　聡,東証プライム,20億4639万円,2005年01月,https://ceres-inc.jp/,,,,,https://pitme.jp/release/
"神奈川県4店舗目！藤沢市内初出店！ アミューズメントフィットネスクラブ FIT-EASY 藤沢駅前店がグランドオー...
3時間前
フィットイージー株式会社",https://prtimes.jp/main/html/rd/p/000000776.000099487.html,2026年2月10日 13時00分,フィットイージー株式会社,https://prtimes.jp/main/html/searchrlp/company_id/99487,サービス業,岐阜県岐阜市本町三丁目2番地1,058-215-8744,國江仙嗣,東証プライム,13億5600万円,2018年07月,https://fiteasy.jp/,,,,,https://lp.fiteasy.jp/lp-kanagawa-fujisawaekimae/
"感謝や応援の気持ちを伝えるシーズンに 『MARY QUANT ESSENTIALS』から、春の訪れを感じさせる2種類の香りの...
3時間前
株式会社 マリークヮント コスメチックス",https://prtimes.jp/main/html/rd/p/000000157.000052030.html,2026年2月10日 13時00分,株式会社 マリークヮント コスメチックス,https://prtimes.jp/main/html/searchrlp/company_id/52030,商業（卸売業、小売業）,東京都江東区豊洲3丁目3番3号 豊洲センタービル4F,-,陶　正治,未上場,7200万円,2011年11月,http://www.maryquant.co.jp/,,,,,https://www.mq-onlineshop.com/ext/cosme/essentials2602.html
"パーソナライズプロテインの「FUJIMI」 とプロのヘアケアを自宅で叶える「GINZUBA」が渋谷スクランブルスクエ...
3時間前
トリコ株式会社",https://prtimes.jp/main/html/rd/p/000000077.000041495.html,2026年2月10日 13時00分,トリコ株式会社,https://prtimes.jp/main/html/searchrlp/company_id/41495,サービス業,東京都新宿区新宿2-3-15 5F,03-6416-4866,花房香那,未上場,1億8600万円,2018年04月,https://tricot-inc.com/,,,,press@tricot-inc.com,https://tricot-inc.com/
"【梅宮アンナさん✕リソウ✕NETSEAMallLive】美容メーカー「リソウ」の人気商品をTikTok Shopで特別配信！
3時間前
オークファン",https://prtimes.jp/main/html/rd/p/000000498.000008833.html,2026年2月10日 13時00分,オークファン,https://prtimes.jp/main/html/searchrlp/company_id/8833,情報通信,東京都品川区北品川5-1-18 住友不動産大崎ツインビル東館７F,03-6809-0951,武永 修一,東証グロース,9億7368万円,2007年06月,https://aucfan.co.jp/,,,,,http://www.risou.com/
"振りかけるだけで食物繊維が摂れる画期的な米加工品 〜JA北大阪「フリタス(FURI+)」開発プロジェクト発表〜
3時間前
北大阪農業協同組合",https://prtimes.jp/main/html/rd/p/000000002.000154697.html,2026年2月10日 13時00分,北大阪農業協同組合,https://prtimes.jp/main/html/searchrlp/company_id/154697,水産・農林業,大阪府吹田市山田西4-15-1,-,川上　光男,未上場,17億6102万円,1989年09月,https://ja-kitaosaka.or.jp/,,,,info@store-ja-kitaosaka.jp,https://store-ja-kitaosaka.jp/pages/furitas-wemai
"沖縄県内3店舗目！浦添市初出店！ アミューズメントフィットネスクラブ FIT-EASY ピーズスクエア浦添店がグラ...
3時間前
フィットイージー株式会社",https://prtimes.jp/main/html/rd/p/000000774.000099487.html,2026年2月10日 13時00分,フィットイージー株式会社,https://prtimes.jp/main/html/searchrlp/company_id/99487,サービス業,岐阜県岐阜市本町三丁目2番地1,058-215-8744,國江仙嗣,東証プライム,13億5600万円,2018年07月,https://fiteasy.jp/,,,,,https://lp.fiteasy.jp/lp-okinawa-pssquareurasoe/
"大阪市平野区内初出店！ アミューズメントフィットネスクラブ FIT-EASY 長吉長原店がグランドオープンしま…
3時間前
フィットイージー株式会社
フィットイージー株式会社",https://prtimes.jp/main/html/rd/p/000000775.000099487.html,2026年2月10日 13時00分,フィットイージー株式会社,https://prtimes.jp/main/html/searchrlp/company_id/99487,サービス業,岐阜県岐阜市本町三丁目2番地1,058-215-8744,國江仙嗣,東証プライム,13億5600万円,2018年07月,https://fiteasy.jp/,,,,,https://lp.fiteasy.jp/lp-osaka-nagayoshinagahara/
"経済産業省 令和７年度「フェムテック等サポートサービス実証事業費補助金」最終報告会（３月2日）のご案内
3時間前
株式会社朝日広告社
株式会社朝日広告社",https://prtimes.jp/main/html/rd/p/000000081.000089360.html,2026年2月10日 12時50分,株式会社朝日広告社,https://prtimes.jp/main/html/searchrlp/company_id/89360,サービス業,東京都中央区銀座7-16-12 G7ビル,03-3547-5400,福地献一,未上場,1億円,1924年11月,https://www.asakonet.co.jp/,,,,meti_femtech@m.asakonet.co.jp,https://www.femtech-projects.jp/
"【グロウナビ】【調査レポート】シミ取りレーザー経験者100名に徹底アンケート調査｜料金相場は1～2万円
4時間前
株式会社ゼロアクセル
株式会社ゼロアクセル",https://prtimes.jp/main/html/rd/p/000000476.000117030.html,2026年2月10日 12時34分,株式会社ゼロアクセル,https://prtimes.jp/main/html/searchrlp/company_id/117030,情報通信,東京都千代田区麹町5-3-23 日テレ四谷ビル 10F,-,大福裕貴,未上場,-,2020年04月,-,,,,,https://zero-accel.co.jp/
"【新生活応援・新車セール】自転車メーカーホダカ オンラインショップにて開催
4時間前
ホダカ株式会社
ホダカ株式会社",https://prtimes.jp/main/html/rd/p/000000013.000102492.html,2026年2月10日 12時04分,ホダカ株式会社,https://prtimes.jp/main/html/searchrlp/company_id/102492,製造業,埼玉県越谷市流通団地1-1-9,048-985-2000,堀田宗男,未上場,1億円,1972年07月,https://www.hodaka-bicycles.jp/,,,,,https://hodaka-bicycles.square.site/shop/3/6M3YWBNT3RCJFVGQOHSDPEJZ
"毛穴*の凸凹を隠して、つるんっ！となめらかな肌へ　カバー*¹だけでなくケアもできる毛穴*消し*¹クリームが20…
4時間前
株式会社スタイリングライフ・ホールディングス　BCLカンパニー
株式会社スタイリングライフ・ホールディングス　BCLカンパニー",https://prtimes.jp/main/html/rd/p/000000488.000038303.html,2026年2月10日 12時00分,株式会社スタイリングライフ・ホールディングス　BCLカンパニー,https://prtimes.jp/main/html/searchrlp/company_id/38303,製造業,東京都新宿区北新宿2-21-1 新宿フロントタワー27Ｆ,-,大村和重,未上場,-,-,https://www.bcl-brand.jp/,,,,,https://www.bcl-brand.jp/brand/skinhero/
"【鏡の中の違和感は“顔の骨”の萎縮かも！？】整形外科医の多くが指摘する老け見えサインと、骨や筋肉の健康維持に欠…
4時間前
株式会社マナビス化粧品
株式会社マナビス化粧品",https://prtimes.jp/main/html/rd/p/000000019.000124389.html,2026年2月10日 12時00分,株式会社マナビス化粧品,https://prtimes.jp/main/html/searchrlp/company_id/124389,サービス業,千葉県浦安市千鳥15-9,-,兼子慎一,未上場,-,-,https://www.manavis-cosme.co.jp/,,,,,https://www.manavis-cosme.co.jp/）は、整形外科医を対象に、「生活者のビタミンDの認知ギャップ」に関する調査を実施しました。
"今日も一日がんばった足に。コリ・血流改善ができる管理医療機器サポーター『bloom me 磁気付き足指サポータ…
4時間前
株式会社アルファックス
株式会社アルファックス",https://prtimes.jp/main/html/rd/p/000000157.000059924.html,2026年2月10日 12時00分,株式会社アルファックス,https://prtimes.jp/main/html/searchrlp/company_id/59924,商業（卸売業、小売業）,大阪市中央区 内平野町2-1-9シグナスビル4F,-,由良 充啓,未上場,-,1999年10月,http://www.al-phax.co.jp/,,,,,https://www.al-phax.co.jp/brand/bloomme/
"【LIPS月間トレンド賞】春めくムードを唇に宿す「宝石ラメ」、洗練アイの土台となる「目もと集中ケア」など、SN…
4時間前
株式会社AppBrew
株式会社AppBrew",https://prtimes.jp/main/html/rd/p/000000268.000018721.html,2026年2月10日 12時00分,株式会社AppBrew,https://prtimes.jp/main/html/searchrlp/company_id/18721,情報通信,東京都文京区本郷1丁目11-6 東接本郷ビル 4F,03-3868-3329,松田崇,未上場,16億1000万円,2016年02月,http://appbrew.io,,,,pr@appbrew.io,https://lipscosme.com/products/682323
"＜SNSで話題＞コラーゲン由来の“第３のプロテイン”【Collatein（コラテイン）】好調につき、ロフト一部…
4時間前
株式会社Ｉ－ｎｅ
株式会社Ｉ－ｎｅ",https://prtimes.jp/main/html/rd/p/000000900.000012002.html,2026年2月10日 12時00分,株式会社Ｉ－ｎｅ,https://prtimes.jp/main/html/searchrlp/company_id/12002,商業（卸売業、小売業）,大阪府大阪市中央区南久宝寺町4-1-2　 御堂筋ダイビル8階,06-6443-0881,大西洋平,東証プライム,5000万円,2007年03月,https://i-ne.co.jp/,,,,,https://www.instagram.com/collatein_official/
"【タカミスキンピール】累計ベストコスメ 106冠*¹受賞。
4時間前
タカミ
タカミ",https://prtimes.jp/main/html/rd/p/000000137.000024471.html,2026年2月10日 12時00分,タカミ,https://prtimes.jp/main/html/searchrlp/company_id/24471,商業（卸売業、小売業）,東京都新宿区西新宿3-7-1 新宿パークタワー,03-6911-8100,ジャン-ピエール・シャリトン,未上場,-,-,https://www.takami-labo.com/,,,,,https://www.takami-labo.com/special/lotion/?yclid=YSS.EAIaIQobChMI3qLcuNCojwMVRwp7Bx2VYyO8EAAYASAAEgJepvD_BwE
"新発売：ビューティープロテインに新フレーバー〈白桃風味／カフェラテ風味〉が登場
4時間前
株式会社ULTORA
株式会社ULTORA",https://prtimes.jp/main/html/rd/p/000000025.000052218.html,2026年2月10日 12時00分,株式会社ULTORA,https://prtimes.jp/main/html/searchrlp/company_id/52218,商業（卸売業、小売業）,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイス18F,03-6459-3100,山崎 玲,未上場,900万円,2019年08月,https://ultora.co.jp,,,,info@ultora.co.jp,https://ultora.co.jp
"”マッチョ×介護士“株式会社ビジョナリー　フィットネス実業団「7SEAS　FITNESS」期待の新メンバー2名…
4時間前
株式会社ビジョナリー
株式会社ビジョナリー",https://prtimes.jp/main/html/rd/p/000000092.000111248.html,2026年2月10日 11時59分,株式会社ビジョナリー,https://prtimes.jp/main/html/searchrlp/company_id/111248,医療・福祉,愛知県名古屋市中区栄1−18−9 TPBビル5階,052-218-2571,丹羽悠介,-,-,2008年05月,https://visionary.day/,,,,visionary_pr@visionary.day,https://7seas.visionary.day/
"明治製薬、初の会員制ラウンジをオープン
4時間前
株式会社ラッキー
株式会社ラッキー",https://prtimes.jp/main/html/rd/p/000000040.000064368.html,2026年2月10日 11時46分,株式会社ラッキー,https://prtimes.jp/main/html/searchrlp/company_id/64368,商業（卸売業、小売業）,東京都豊島区池袋3丁目67‐10,03-6912-5922,小泉　優衣,未上場,3000万円,2010年04月,https://www.lucky-tokyo.com/,,,,,https://meijiseiyaku.co.jp/
